xhb,0,602,0,,0,Frequency,Cumulative %
xhd,0,602,10,,10,6315,70.36%
xi2,0,602,20,,20,559,76.59%
llk,0,602,30,,30,285,79.77%
llj,0,602,40,,40,202,82.02%
xhn,1,602,50,,50,161,83.81%
xgh,1,602,60,,60,129,85.25%
xgg,0,602,70,,70,104,86.41%
xhj,0,602,80,,80,94,87.45%
xhh,0,602,90,,90,83,88.38%
xia,0,602,100,,100,67,89.13%
xi5,0,602,110,,110,86,90.08%
xgm,0,602,120,,120,70,90.86%
xii,0,602,130,,130,62,91.55%
xi4,151,602,140,,140,54,92.16%
xhu,4,602,150,,150,79,93.04%
xhf,0,602,160,,160,98,94.13%
xhe,2,602,170,,170,53,94.72%
xic,89,602,180,,180,54,95.32%
xg2,47,602,190,,190,28,95.63%
axb,1,602,200,,200,34,96.01%
xgz,56,602,210,,210,35,96.40%
xh2,87,602,220,,220,42,96.87%
awa,2,602,230,,230,20,97.09%
lkx,2,602,240,,240,29,97.42%
xfx,4,602,250,,250,17,97.60%
xhk,28,602,260,,260,19,97.82%
xh5,196,602,270,,270,27,98.12%
xh,318,602,280,,280,20,98.34%
xg,223,602,290,,290,19,98.55%
xhy,132,602,300,,300,10,98.66%
xgj,38,602,310,,310,14,98.82%
xg4,5,602,320,,320,16,99.00%
xi8,76,602,330,,330,11,99.12%
xgw,10,602,340,,340,15,99.29%
xhc,0,602,350,,350,7,99.36%
xhl,0,602,360,,360,4,99.41%
xi6,104,602,370,,370,8,99.50%
awk,3,602,380,,380,5,99.55%
ayt,0,602,390,,390,4,99.60%
xie,0,602,400,,400,8,99.69%
az,0,602,410,,410,2,99.71%
xib,2,602,420,,420,1,99.72%
lll,142,602,430,,430,6,99.79%
awb,3,602,440,,440,4,99.83%
xhx,19,602,450,,450,4,99.88%
awl,0,602,460,,460,2,99.90%
awd,0,602,470,,470,1,99.91%
llf,0,602,480,,480,1,99.92%
awe,0,602,490,,490,0,99.92%
llb,14,602,500,,500,1,99.93%
az1,0,602,510,,510,1,99.94%
lmm,0,602,520,,520,0,99.94%
ll,34,602,530,,530,1,99.96%
aza,2,602,540,,540,1,99.97%
ayj,82,602,550,,550,3,100.00%
xi9,0,602,560,,560,0,100.00%
xhp,0,602,570,,570,0,100.00%
lme,0,602,580,,580,0,100.00%
xih,4,602,590,,590,0,100.00%
awc,4,602,600,,600,0,100.00%
awp,18,602,610,,610,0,100.00%
lmd,64,602,,,More,0,100.00%
xi,108,602,,,,,
lmj,223,602,,,,,
lli,65,602,,,,,
ayv,0,602,,,,,
lmw,0,602,,,,,
lmx,0,602,,,,,
xi3,23,602,,,,,
xi7,6,602,,,,,
lnq,0,602,,,,,
az2,0,602,,,,,
lms,35,602,,,,,
ayo,0,602,,,,,
xiu,0,602,,,,,
xhq,8,602,,,,,
az8,0,602,,,,,
aze,19,602,,,,,
azr,1,602,,,,,
azb,0,602,,,,,
azi,26,602,,,,,
xjb,0,602,,,,,
lmv,156,602,,,,,
ayu,8,602,,,,,
lmy,42,602,,,,,
lld,3,602,,,,,
lmq,0,602,,,,,
xj2,0,602,,,,,
xij,310,602,,,,,
lo2,1,602,,,,,
lnh,7,602,,,,,
llc,0,602,,,,,
lmn,4,602,,,,,
lmp,151,602,,,,,
ax2,6,602,,,,,
ax,0,602,,,,,
xjk,0,602,,,,,
lns,12,602,,,,,
lky,0,602,,,,,
xhw,232,602,,,,,
xim,8,602,,,,,
lnn,9,602,,,,,
xj,150,602,,,,,
xjh,1,602,,,,,
b,1,602,,,,,
azy,1,602,,,,,
b0b,0,602,,,,,
axe,44,602,,,,,
xjy,0,602,,,,,
loo,0,602,,,,,
ln,46,602,,,,,
llg,0,602,,,,,
aws,0,602,,,,,
xjj,26,602,,,,,
xis,16,602,,,,,
xjl,60,602,,,,,
xjz,2,602,,,,,
xjq,261,602,,,,,
lmc,2,602,,,,,
xl3,0,602,,,,,
lon,4,602,,,,,
lmk,0,602,,,,,
llt,0,602,,,,,
xjs,5,602,,,,,
log,9,602,,,,,
xjc,2,602,,,,,
lmr,0,602,,,,,
xk,209,602,,,,,
lml,1,602,,,,,
llh,9,602,,,,,
lm2,0,602,,,,,
axi,0,602,,,,,
ay3,2,602,,,,,
ays,2,602,,,,,
xka,13,602,,,,,
axl,2,602,,,,,
azu,0,602,,,,,
lmf,10,602,,,,,
lo,3,602,,,,,
lm4,0,602,,,,,
lor,17,602,,,,,
loy,18,602,,,,,
xjd,1,602,,,,,
llu,1,602,,,,,
loh,2,602,,,,,
ayi,0,602,,,,,
lok,0,602,,,,,
llr,0,602,,,,,
lpl,0,602,,,,,
llm,11,602,,,,,
lng,20,602,,,,,
lpy,1,602,,,,,
lmh,71,602,,,,,
xlm,0,602,,,,,
xla,296,602,,,,,
llw,93,602,,,,,
axj,103,602,,,,,
xkl,12,602,,,,,
xin,4,602,,,,,
lpc,238,602,,,,,
lnc,1,602,,,,,
los,0,602,,,,,
lmt,4,602,,,,,
xlt,0,602,,,,,
xlp,100,602,,,,,
b5,0,602,,,,,
aya,153,602,,,,,
xkr,0,602,,,,,
b9,0,602,,,,,
b3k,0,602,,,,,
xlj,44,602,,,,,
lqc,155,602,,,,,
loc,44,602,,,,,
b5y,1,602,,,,,
xjw,40,602,,,,,
lpm,0,602,,,,,
xir,1,602,,,,,
